,name,review_count,rating,transactions,price,latitude,longitude,alias,address1,city,zip_code,display_address
288,Traif,1938,4.5,"['delivery', 'pickup']",$$$$,40.710658,-73.958872,newamerican,229 S 4th St,Brooklyn,11211,"['229 S 4th St', 'Brooklyn, NY 11211']"
289,The Dolar Shop,947,4.5,"['restaurant_reservation', 'delivery', 'pickup']",$$$,40.761057,-73.83306,chinese,36-36 Prince St,Flushing,11354,"['36-36 Prince St', 'Fl 1', 'Flushing, NY 11354']"
290,Bagels On Bartow,65,4.5,['delivery'],$,40.8692951,-73.8299709,bagels,2033 Bartow Ave,Bronx,10475,"['2033 Bartow Ave', 'Bronx, NY 10475']"
291,Mad For Chicken,1970,4.0,"['delivery', 'pickup']",$$,40.7635739,-73.8079404,korean,157-18 Northern Blvd,Flushing,11354,"['157-18 Northern Blvd', 'Flushing, NY 11354']"
292,Tryon Public House,409,4.0,"['delivery', 'pickup']",$$,40.8649821372469,-73.927843119049,tradamerican,4740 Broadway,New York,10040,"['4740 Broadway', 'New York, NY 10040']"
293,Kirvens,32,4.5,['delivery'],,40.85439,-73.8663897,pubs,736 Lydig Ave,Bronx,10462,"['736 Lydig Ave', 'Bronx, NY 10462']"
294,Pocion,175,4.5,"['delivery', 'pickup']",$$,40.8475749396196,-73.9384309485114,vegan,704 W 177th St,New York,10033,"['704 W 177th St', 'New York, NY 10033']"
295,Spring Shabu-Shabu,1263,4.0,[],$$,40.760924701904784,-73.83002707689919,buffets,136 20 38th Ave,Flushing,11354,"['136 20 38th Ave', 'Fl 2', 'Flushing, NY 11354']"
296,KazuNori  | The Original Hand Roll Bar,1184,4.5,['delivery'],$$,40.74519,-73.98824,sushi,15 W 28th St,New York,10001,"['15 W 28th St', 'New York, NY 10001']"
297,Locksmith Bar,417,4.0,"['delivery', 'pickup']",$$,40.8573807,-73.9325659,newamerican,4463 Broadway,New York,10040,"['4463 Broadway', 'New York, NY 10040']"
298,Cannelle Patisserie,867,4.5,['delivery'],$$,40.7587709,-73.8917685,bakeries,75-59 31st Ave,East Elmhurst,11370,"['75-59 31st Ave', 'East Elmhurst, NY 11370']"
299,Boucherie West Village,1983,4.5,"['delivery', 'pickup']",$$$,40.733063,-74.0028772,french,99 7th Ave S,New York,10014,"['99 7th Ave S', 'New York, NY 10014']"
300,Rice To Riches,3116,4.0,"['pickup', 'delivery']",$$,40.721845,-73.995802,desserts,37 Spring St,New York,10012,"['37 Spring St', 'New York, NY 10012']"
301,Mamoun's Falafel,2486,4.0,['delivery'],$,40.7302874,-74.0004383,mideastern,119 MacDougal St,New York,10012,"['119 MacDougal St', 'New York, NY 10012']"
302,Barn Joo 35,2179,4.0,"['pickup', 'delivery']",$$,40.74964,-73.98582,korean,34 W 35th St,New York,10001,"['34 W 35th St', 'New York, NY 10001']"
303,NY Pizza Suprema,2199,4.0,"['pickup', 'delivery']",$,40.7502059936523,-73.9953231811523,pizza,413 8th Ave,New York,10001,"['413 8th Ave', 'New York, NY 10001']"
304,Top Thai Greenwich,1688,4.5,"['pickup', 'delivery']",$$,40.729771,-73.999392,thai,235 Sullivan St,New York,10012,"['235 Sullivan St', 'New York, NY 10012']"
305,Marea,2210,4.0,"['pickup', 'delivery']",$$$$,40.7674213694566,-73.9810554368179,italian,240 Central Park S,New York,10019,"['240 Central Park S', 'New York, NY 10019']"
306,Tonchin,1552,4.5,"['pickup', 'delivery']",$$,40.7502727,-73.9844951,ramen,13 W 36th St,New York,10018,"['13 W 36th St', 'New York, NY 10018']"
307,Seis Vecinos Restaurant,142,3.5,"['pickup', 'delivery']",$$,40.81533,-73.90317,latin,640 Prospect Ave,Bronx,10455,"['640 Prospect Ave', 'Bronx, NY 10455']"
308,BLVD Bistro,1098,4.0,"['pickup', 'restaurant_reservation', 'delivery']",$$,40.80438,-73.9558,tradamerican,2149 Frederick Douglass Blvd,New York,10026,"['2149 Frederick Douglass Blvd', 'New York, NY 10026']"
309,La Cocina Boricua,200,3.5,"['pickup', 'delivery']",$$,40.83449,-73.85047,latin,2245 B Westchester Ave,Bronx,10462,"['2245 B Westchester Ave', 'Bronx, NY 10462']"
310,So Kong Dong,761,4.0,['delivery'],$$,40.85056,-73.96702,korean,130 Main St,Fort Lee,07024,"['130 Main St', 'Fort Lee, NJ 07024']"
311,Bea,2601,4.0,"['restaurant_reservation', 'delivery']",$$,40.7591968,-73.9923361,newamerican,403 W 43rd St,New York,10036,"['403 W 43rd St', 'New York, NY 10036']"
312,Sea Shore Restaurant & Marina,406,3.0,"['pickup', 'delivery']",$$$,40.854201,-73.790912,seafood,591 City Island Ave,Bronx,10464,"['591 City Island Ave', 'Bronx, NY 10464']"
313,Eileen's Special Cheesecake,1779,4.5,"['pickup', 'delivery']",$,40.7215431969029,-73.9972332037048,bakeries,17 Cleveland Pl,New York,10012,"['17 Cleveland Pl', 'New York, NY 10012']"
314,Beauty & Essex,3641,4.0,"['pickup', 'delivery']",$$$,40.720434786101286,-73.98686057623863,newamerican,146 Essex St,New York,10002,"['146 Essex St', 'New York, NY 10002']"
315,Hudson Smokehouse,95,4.0,"['pickup', 'delivery']",,40.8070624290931,-73.927560514179,bbq,37 Bruckner Blvd,Bronx,10454,"['37 Bruckner Blvd', 'Bronx, NY 10454']"
316,Moon Star Grill,120,4.0,"['pickup', 'delivery']",$$,40.8861089331436,-73.909908766271,asianfusion,3519-25 Johnson Ave,Riverdale,10463,"['3519-25 Johnson Ave', 'Riverdale, NY 10463']"
317,Shanghai Red Asian Latin Bistro,132,3.5,"['pickup', 'delivery']",$$,40.8401620296024,-73.8425095552948,asianfusion,127 Westchester Sq,Bronx,10461,"['127 Westchester Sq', 'Bronx, NY 10461']"
318,Yankee J-Z Pizza,63,4.5,['delivery'],$,40.8292327076197,-73.8757006824017,pizza,1599 Westchester Ave,Bronx,10472,"['1599 Westchester Ave', 'Bronx, NY 10472']"
319,Wafels & Dinges,1528,4.5,"['pickup', 'delivery']",$,40.7392845153809,-73.9989318847656,waffles,,New York,10011,"['New York, NY 10011']"
320,Tony's Pier,223,3.5,[],$$,40.837476,-73.7831385,seafood,1 City Island Ave,Bronx,10464,"['1 City Island Ave', 'Bronx, NY 10464']"
321,Tony's Di Napoli,2279,4.0,"['pickup', 'delivery']",$$,40.75641,-73.98547,italian,147 W 43rd St,New York,10036,"['147 W 43rd St', 'New York, NY 10036']"
322,Cafe Habana,3211,4.0,"['pickup', 'delivery']",$$,40.722998,-73.994171,cuban,17 Prince St,New York,10012,"['17 Prince St', 'New York, NY 10012']"
323,Artichoke Basille's Pizza,4062,4.0,"['pickup', 'delivery']",$,40.7321124557704,-73.9839056828882,pizza,321 E 14th St,New York,10003,"['321 E 14th St', 'New York, NY 10003']"
324,Muscle Maker Grill,116,4.0,"['pickup', 'delivery']",$$,40.8195,-73.8171,newamerican,4041 E Tremont Ave,Bronx,10465,"['4041 E Tremont Ave', 'Bronx, NY 10465']"
325,Ali's Roti Shop,101,4.0,[],$,40.894,-73.85684,trinidadian,4220 White Plains Rd,Bronx,10466,"['4220 White Plains Rd', 'Bronx, NY 10466']"
326,Eating Tree,137,3.5,"['pickup', 'delivery']",$,40.8281599,-73.92442,caribbean,892 Gerard Ave,Bronx,10452,"['892 Gerard Ave', 'Bronx, NY 10452']"
327,Nicky's Coffee Shop,68,4.0,"['pickup', 'delivery']",$,40.8748959634318,-73.879283460723,breakfast_brunch,3140 Bainbridge Ave,Bronx,10467,"['3140 Bainbridge Ave', 'Bronx, NY 10467']"
328,Watawa Sushi,929,4.0,[],$$,40.774959,-73.9095,sushi,33-10 Ditmars Blvd,Astoria,11105,"['33-10 Ditmars Blvd', 'Astoria, NY 11105']"
329,Joe's Pizza,2780,4.0,['delivery'],$,40.73060076,-74.00215997,pizza,7 Carmine St,New York,10014,"['7 Carmine St', 'New York, NY 10014']"
330,Jin Ramen - West Harlem,1122,4.0,"['pickup', 'delivery']",$$,40.8154774,-73.9587672,ramen,3183 Broadway,New York,10027,"['3183 Broadway', 'New York, NY 10027']"
331,Sushi Yasuda,2180,4.0,[],$$$$,40.75113,-73.97347,sushi,204 E 43rd St,New York,10017,"['204 E 43rd St', 'New York, NY 10017']"
332,Jongro BBQ,2236,4.0,"['pickup', 'delivery']",$$,40.747514,-73.986884,korean,22 W 32nd St,New York,10001,"['22 W 32nd St', 'Fl 2', 'New York, NY 10001']"
333,Benyam Cuisine,144,4.5,['delivery'],$$,40.82522,-73.94058,ethiopian,2795 Frederick Douglas Blvd,New York,10039,"['2795 Frederick Douglas Blvd', 'New York, NY 10039']"
334,Blackstone Bar & Grill,98,4.0,"['pickup', 'delivery']",$$,40.887361171014,-73.9071422050018,sportsbars,3713 Riverdale Ave,Bronx,10463,"['3713 Riverdale Ave', 'Bronx, NY 10463']"
335,Queen Of Tacos,117,3.5,"['pickup', 'delivery']",$$,40.880223,-73.883453,mexican,9 E Mosholu Pkwy N,Bronx,10467,"['9 E Mosholu Pkwy N', 'Bronx, NY 10467']"
