,name,review_count,rating,transactions,price,latitude,longitude,alias,address1,city,zip_code,display_address
799,Taco Rey de Oro,75,4.5,[],$,40.743826,-73.913403,mexican,52nd St And Roosevelt Ave,Woodside,11377,"['52nd St And Roosevelt Ave', 'Woodside, NY 11377']"
800,Kusina Pinoy Bistro,177,4.0,"['delivery', 'pickup']",$$,40.746172,-73.895585,filipino,69-16 Roosevelt Ave,Woodside,11377,"['69-16 Roosevelt Ave', 'Woodside, NY 11377']"
801,Dokdoya,131,4.5,['delivery'],$$$,40.7626895,-73.804204,seafood,161-29 Crocheron Ave,Flushing,11358,"['161-29 Crocheron Ave', 'Flushing, NY 11358']"
802,Diamond Dogs,134,4.0,['delivery'],$$,40.763087,-73.920919,cocktailbars,34-04 31st Ave,Astoria,11106,"['34-04 31st Ave', 'Astoria, NY 11106']"
803,Marea,2210,4.0,"['delivery', 'pickup']",$$$$,40.7674213694566,-73.9810554368179,italian,240 Central Park S,New York,10019,"['240 Central Park S', 'New York, NY 10019']"
804,Magna Restaurant,148,4.0,"['delivery', 'pickup']",$$,40.76371,-73.831117,italian,3525 Farrington St,Flushing,11354,"['3525 Farrington St', 'Flushing, NY 11354']"
805,Mangal Kebab,321,3.5,"['delivery', 'pickup']",$$,40.7428106,-73.918186,turkish,46-20 Queens Blvd,Sunnyside,11104,"['46-20 Queens Blvd', 'Sunnyside, NY 11104']"
806,Mamajuana Cafe Queens,599,3.5,"['restaurant_reservation', 'delivery', 'pickup']",$$,40.752815,-73.904854,latin,33-15 56th St,Woodside,11377,"['33-15 56th St', 'Woodside, NY 11377']"
807,D & F Italian Deli,90,4.5,"['delivery', 'pickup']",$,40.76037,-73.92139,delis,35-17 Broadway,Astoria,11106,"['35-17 Broadway', 'Astoria, NY 11106']"
808,King of Falafel & Shawarma - Truck,120,4.5,"['delivery', 'pickup']",$,40.776246898596284,-73.91094948739055,foodtrucks,31st Ditmars,Astoria,11105,"['31st Ditmars', 'Astoria, NY 11105']"
809,Romeo's Pizza,148,4.0,['delivery'],$,40.7291074,-73.7808497,pizza,18808 Union Tpke,Fresh Meadows,11366,"['18808 Union Tpke', 'Fresh Meadows, NY 11366']"
810,Ma Kin,117,4.5,"['delivery', 'pickup']",,40.7130368,-73.8775219,thai,7419 Metropolitan Ave,Middle Village,11379,"['7419 Metropolitan Ave', 'Middle Village, NY 11379']"
811,Jongro BBQ,2236,4.0,"['delivery', 'pickup']",$$,40.747514,-73.986884,korean,22 W 32nd St,New York,10001,"['22 W 32nd St', 'Fl 2', 'New York, NY 10001']"
812,Arirang Restaurant,180,4.0,['delivery'],$$,40.7612266540527,-73.8030700683594,korean,41-04 163rd St,Flushing,11358,"['41-04 163rd St', 'Flushing, NY 11358']"
813,Veniero's,2213,4.0,"['delivery', 'pickup']",$$,40.729431,-73.984541,bakeries,342 E 11th St,New York,10003,"['342 E 11th St', 'New York, NY 10003']"
