,name,review_count,rating,price,latitude,longitude,alias,address1,city,zip_code,display_address
1490,Bareburger - Forest Hills,836,4.0,$$,40.71974,-73.84298,burgers,71-49 Austin St,Forest Hills,11375,"['71-49 Austin St', 'Forest Hills, NY 11375']"
1491,The Shady Lady,948,4.0,$$,40.765619,-73.9181399,breakfast_brunch,34-19 30th Ave,Astoria,11103,"['34-19 30th Ave', 'Astoria, NY 11103']"
1492,Marani,264,4.5,$$,40.731202,-73.859833,mediterranean,97-26 63rd Rd,Rego Park,11374,"['97-26 63rd Rd', 'Rego Park, NY 11374']"
1493,Meet The Meat,386,4.5,$$$,40.7769295040115,-73.9214426951538,steak,2392 21st St,Astoria,11105,"['2392 21st St', 'Astoria, NY 11105']"
1494,Bareburger - Astoria,1248,3.5,$$,40.763452,-73.921073,burgers,33-21 31st Ave,Astoria,11103,"['33-21 31st Ave', 'Astoria, NY 11103']"
1495,Trestle,459,4.5,$$,40.7606154,-73.9229562,cocktailbars,34-02 Broadway,Astoria,11106,"['34-02 Broadway', 'Astoria, NY 11106']"
1496,Angel Indian Restaurant,224,4.5,$$,40.7473069226623,-73.8912814123575,indpak,7414 37th Rd,Jackson Heights,11372,"['7414 37th Rd', 'Jackson Heights, NY 11372']"
1497,Chela & Garnacha,415,4.5,$$,40.7556474,-73.9274415,mexican,33-09 36th Ave,Astoria,11106,"['33-09 36th Ave', 'Astoria, NY 11106']"
1498,Bahari Estiatorio,583,4.0,$$,40.76152,-73.925,greek,3114 Broadway,Astoria,11106,"['3114 Broadway', 'Astoria, NY 11106']"
1499,Prince Tea House,413,4.5,$$,40.7600826432573,-73.9179300909083,desserts,31-47 Steinway St,Astoria,11103,"['31-47 Steinway St', 'Astoria, NY 11103']"
1500,Beijing Dumpling House,341,4.5,$,40.7043147,-73.8091804,bubbletea,88-38 Sutphin Blvd,Jamaica,11435,"['88-38 Sutphin Blvd', 'Jamaica, NY 11435']"
1501,Naked Crab,625,4.0,$$,40.7585,-73.83467,seafood,39-16 College Point Blvd,Flushing,11354,"['39-16 College Point Blvd', 'Flushing, NY 11354']"
1502,El Rey Del Taco Truck,486,4.5,$,40.76622,-73.91933,foodtrucks,33-01 30th Ave,Astoria,11103,"['33-01 30th Ave', 'Astoria, NY 11103']"
1503,The Bonnie,726,4.0,$$,40.7746737,-73.9136003,gastropubs,29-12 23rd Ave,Astoria,11105,"['29-12 23rd Ave', 'Astoria, NY 11105']"
1504,Patacon Pisao,431,4.0,$$,40.73515,-73.88126,venezuelan,85-22 Grand Ave,Elmhurst,11373,"['85-22 Grand Ave', 'Elmhurst, NY 11373']"
1505,Sotto Le Stelle,310,4.5,$$,40.743656,-73.9201782,pizza,4407 Queens Blvd,Sunnyside,11104,"['4407 Queens Blvd', 'Sunnyside, NY 11104']"
