,name,review_count,rating,transactions,price,latitude,longitude,alias,address1,city,zip_code,display_address
81,Balthazar,3317,4.0,"['pickup', 'delivery']",$$$,40.7226892950401,-73.9982149184027,french,80 Spring St,New York,10012,"['80 Spring St', 'New York, NY 10012']"
82,Sugar Sweet Sunshine Bakery,2099,4.0,"['pickup', 'delivery']",$,40.719851,-73.987011,bakeries,126 Rivington St,New York,10002,"['126 Rivington St', 'New York, NY 10002']"
83,Saigon Shack,2543,4.0,"['pickup', 'delivery']",$$,40.72969,-74.000629,vietnamese,114 Macdougal St,New York,10012,"['114 Macdougal St', 'New York, NY 10012']"
84,Milk & Cream Cereal Bar,1085,4.5,"['pickup', 'delivery']",$$,40.71958,-73.99654,icecream,159 Mott St,New York,10013,"['159 Mott St', 'New York, NY 10013']"
85,Artichoke Basille's Pizza,4062,4.0,"['pickup', 'delivery']",$,40.7321124557704,-73.9839056828882,pizza,321 E 14th St,New York,10003,"['321 E 14th St', 'New York, NY 10003']"
86,Jane Restaurant,3330,4.0,"['pickup', 'delivery']",$$,40.7273779,-74.00025,breakfast_brunch,100 W Houston St,New York,10012,"['100 W Houston St', 'New York, NY 10012']"
87,NY Pizza Suprema,2199,4.0,"['pickup', 'delivery']",$,40.7502059936523,-73.9953231811523,pizza,413 8th Ave,New York,10001,"['413 8th Ave', 'New York, NY 10001']"
88,Barn Joo 35,2179,4.0,"['pickup', 'delivery']",$$,40.74964,-73.98582,korean,34 W 35th St,New York,10001,"['34 W 35th St', 'New York, NY 10001']"
89,The Alcove,983,5.0,"['pickup', 'delivery']",$$,40.7459065,-73.915103,gastropubs,41-11 49th St,Sunnyside,11104,"['41-11 49th St', 'Sunnyside, NY 11104']"
90,Wafels & Dinges,1528,4.5,"['pickup', 'delivery']",$,40.7392845153809,-73.9989318847656,waffles,,New York,10011,"['New York, NY 10011']"
